Curso;Semestre;Período;Nome da Disciplina;ID da Disciplina;ID do Aluno;VAR01;VAR02;VAR03;VAR04;VAR05;VAR06;VAR07;VAR08;VAR09;VAR10;VAR12;VAR13;VAR14;VAR16;VAR17;VAR18;VAR20;VAR21;VAR22;VAR23;VAR24;VAR25;VAR30;VAR31;VAR31b;VAR31c;VAR32a;VAR32b;VAR32c;VAR32d;VAR33;VAR34;VAR35
Pedagogia;2014.1;8;Prática Pedagógica VIII;53;479;9;0;0;15;14;0;0;2;2;0;0;7;1;0;7;14;0;1;0;1;5;74,82;7;146;9;67;34;46;65;1;1;3;0
Pedagogia;2016.1;8;Ética e Cidadania;66;971;13;0;0;0;4;0;0;0;0;0;0;17;2;0;6;3;0;0;0;2;1;0;6;33;11;20;5;10;18;0;2;0;0
Pedagogia;2012.1;4;Planejamento Educacional;52;181;9;0;0;4;33;0;0;0;0;1;0;12;2;1;10;38;0;0;0;0;5;86,91;10;150;0;79;43;67;35;5;1;4;0
Pedagogia;2012.1;4;Prática Pedagógica IV;57;205;8;0;0;0;16;0;0;0;1;0;0;15;2;0;17,5;5;0;0;0;0;1;79,71;17,5;37;0;15;5;25;7;0;2;2;0
Administracao;2013.2;8;Políticas Públicas e Sociedade ;36;186;23;2;16;78;112;0;0;1;5;4;0;13;2;0;1,5;86;1;11;0;2;8;226,79;1,5;213;28;119;56;79;78;0;2;6;0
Biologia;2016.1;4;Didatica;34;1394;5;0;0;8;20;0;0;0;1;0;0;8;1;0;19,5;15;0;0;5;0;4;77,47;19,5;106;30;56;62;7;37;0;2;5;0
Biologia;2014.1;7;Prática VII;53;383838;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Biologia;2016.1;4;Genetica Geral;36;1313;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Administracao;2016.1;8;Licitações, Contratos e Convênios;29;773;5;0;0;0;19;0;0;0;0;0;0;21;3;0;4;0;0;0;0;1;0;0;4;11;4;8;3;4;4;0;2;0;0
Biologia;2014.2;8;Prática VIII (8º);69;292929;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Biologia;2013.2;3;Química Orgânica  ;31;72;141;0;0;2;49;0;0;0;0;0;0;12;2;0;1;27;0;9;0;1;6;239,18;1;169;27;107;14;33;119;3;2;4;0
Pedagogia;2016.1;4;Currículo e Contemporaneidade;58;1905;7;0;0;2;4;0;0;4;0;0;0;11;1;0;35;14;0;0;0;2;2;87,81;35;70;24;38;30;18;22;0;2;4;0
Biologia;2016.1;4;Filosofia da Educacao;35;1292;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Letras;2011.1;4;Linguística II;48;216;8;0;0;24;206;0;0;0;0;1;0;20;3;0;1;2;0;0;0;0;3;119,46;1;96;0;65;8;19;69;0;1;1;0
Administracao;2014.2;1;Filosofia e Ética (1º);71;1218;1;0;0;9;31;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0,00000769;0;0;2;0;2;0;2;0;0;0;0;0
Administracao;2010.2;2;Contabilidade Geral;30;791;50;0;6;21;137;0;0;0;0;5;0;12;2;0;35;6;0;0;0;0;2;0;35;63;0;48;19;15;28;1;1;0;0
Pedagogia;2014.1;8;Ética e Cidadania;52;108;8;0;0;4;11;0;0;3;3;0;0;14;2;0;0;16;0;1;0;1;2;81,07;0;63;13;37;8;38;17;0;1;3;0
Administracao;2011.2;4;Sistema de Informações e Comunicação no Setor Público;43;762;10;0;1;1;55;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;34,79;0;18;0;18;5;7;6;0;0;1;0
Pedagogia;2013.2;7;Estágio III;38;235;9;0;0;0;6;0;0;0;0;0;0;7;1;0;2,5;34;0;2;0;2;15;234,29;2,5;405;29;80;76;188;137;4;2;4;0
Biologia;2016.1;8;Microbiologia;43;262;6;0;0;3;28;0;0;0;0;0;0;9;1;0;22,5;8;0;0;0;0;2;86,01;22,5;60;18;43;21;26;12;1;2;3;0
Biologia;2014.2;1;Metodologia Científica(1º);57;1348;13;0;0;8;50;0;0;0;1;2;0;23;3;0;0,52;31;0;3;0;0;5,1154;72,73;0,52;133;28;54;50;24;51;8;2;5;0
Administracao;2014.2;5;Gestão de Operações e Logística I (5º);78;552;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00000385;0;0;1;0;1;0;1;0;0;0;0;0
Pedagogia;2012.1;4;Prática Pedagógica IV;57;96;9;0;0;0;29;0;0;0;1;0;0;15;2;0;9,5;13;0;0;0;0;2;77,59;9,5;66;0;40;15;25;25;1;2;3;0
Biologia;2014.2;5;Citogenética (5º);60;321;7;0;2;137;177;0;0;1;0;2;0;14;2;0;0,72;47;0;4;0;0;13,1923;72,08;0,72;343;58;78;62;116;161;4;2;4;0
Pedagogia;2016.1;4;Planejamento Educacional;61;1723;6;0;0;0;1;0;0;0;0;0;0;21;3;0;4;4;0;0;2;2;0;75,57;4;15;5;11;7;3;5;0;2;1;0
Pedagogia;2014.1;8;Relações Interpessoais e Dinâmica de Grupo;54;117;24;2;0;30;26;0;0;0;1;0;0;14;2;0;20;22;0;2;0;1;2;115,56;20;77;18;41;34;24;15;4;1;3;0
Administracao;2016.1;8;Gestão Ambiental e Sustentabilidade;28;741;6;0;0;37;35;0;0;1;1;0;0;11;1;0;29,5;21;1;0;0;0;7;79,34;29,5;206;33;99;83;70;52;1;2;6;0
Pedagogia;2016.1;4;Currículo e Contemporaneidade;58;1944;5;0;0;2;3;0;0;2;0;0;0;19;3;0;23,5;27;0;0;0;2;4;87,1;23,5;113;30;60;16;57;40;0;2;6;0
Administracao;2014.2;5;Legislação Tributária e Comercial (5º);81;654;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00001923;0;0;5;0;5;0;1;4;0;0;0;0
Pedagogia;2016.1;8;Educação e Trabalho;65;948;27;0;0;0;2;0;0;0;0;0;0;9;1;0;15;13;0;0;0;2;2;76,98;15;71;13;36;34;18;19;0;2;4;0
Pedagogia;2013.2;3;Metodologia Cientifica;31;270;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pedagogia;2014.2;1;Antropologia ;105;1814;36;0;7;71;57;0;1;0;0;18;3;13;2;0;23,24;19;0;5;0;2;4,4615;68,59;23,24;116;25;44;41;46;28;1;2;6;0
Pedagogia;2011.2;3;Metodologia Científica;50;50;32;0;0;0;21;0;0;0;2;0;0;19;3;0;3;10;0;0;0;0;1;84,62;3;46;0;30;17;5;13;11;1;4;0
Pedagogia;2016.1;4;Currículo e Contemporaneidade;58;824;8;0;0;0;3;0;0;2;3;0;0;0;0;0;0;10;0;0;0;0;1;79,45;0;28;9;17;10;14;4;0;0;4;0
Letras;2013.2;3;Linguística I;33;480;24;0;12;15;103;0;0;2;0;1;0;9;1;1;8;22;0;2;0;2;10;83,09;8;281;20;136;88;113;80;0;1;4;0
Administracao;2011.1;3;Teorias da Administração Pública;38;779;9;0;17;21;75;1;1;0;1;3;0;0;0;0;0;14;0;0;0;0;3;113,6;0;103;0;72;33;37;32;1;0;3;0
Letras;2016.1;4;Morfossintaxe II;50;1568;42;0;0;10;70;0;0;0;1;1;0;22;3;3;16,33;19;0;0;1;0;3;78,91;16,33;78;17;52;18;20;40;0;3;3;0
Pedagogia;2013.2;7;Avaliação Educacional;36;355;10;0;0;0;6;0;0;0;4;0;0;19;3;0;0;16;0;3;0;2;3;244,01;0;87;15;39;26;19;40;2;2;4;0
Pedagogia;2014.1;4;Planejamento Educacional;48;23;4;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;48;0;29;11;10;26;1;0;0;0
Biologia;2014.1;4;Genética Geral;46;201;9;0;3;18;40;0;0;0;0;4;0;19;3;0;0;3;0;1;0;0;1;0;0;36;8;34;2;4;29;1;1;0;0
Letras;2014.2;1;História da Língua Portuguesa (1º);87;1440;2;0;1;2;11;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0,00001538;0;0;4;1;3;0;2;2;0;0;0;0
Pedagogia;2012.1;4;Planejamento Educacional;52;53;12;0;0;0;0;0;0;0;0;0;0;20;3;0;3;5;0;0;0;0;1;0;3;27;0;12;3;3;21;0;1;0;0
Pedagogia;2013.2;3;Metodologia Cientifica;31;236;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Letras;2012.1;6;Literatura Brasileira III;76;193;4;4;0;34;109;0;0;0;0;1;0;4;3;0;0;23;0;0;0;0;5;142,44;0;133;0;82;28;54;49;2;2;4;0
Pedagogia;2011.1;2;Informática na Educação;35;153;4;0;2;3;48;0;0;4;0;3;0;12;2;0;12,5;20;0;0;0;0;6;68,89;12,5;178;0;76;25;64;89;0;2;4;0
Pedagogia;2013.2;3;Metodologia Cientifica;31;206;8;0;6;21;20;0;0;0;1;0;0;11;1;0;1;12;0;4;0;2;4;215,97;1;112;15;75;22;42;48;0;2;3;0
Biologia;2014.2;5;Zoologia dos Invertebrados (5º);64;348;5;1;4;69;67;0;0;0;0;3;0;21;3;0;4,56;19;0;5;5;0;3,5385;68,09;4,56;92;28;54;16;34;41;1;2;4;0
Pedagogia;2014.2;1;Antropologia ;105;1901;44;0;3;7;32;0;0;0;0;1;0;22;3;0;34,06;11;0;7;1;1;3,7692;54,6;34,06;98;20;49;20;22;54;2;2;4;0
Biologia;2016.1;4;Filosofia da Educacao;35;1324;54;0;5;12;30;0;0;0;0;0;0;14;2;0;46;20;0;0;0;0;8;85,75;46;219;41;102;61;79;75;4;2;4;0
Pedagogia;2012.1;4;Educação e Multiculturalismo;55;134;89;0;0;1;31;0;0;3;2;0;0;14;2;2;0;22;0;0;0;0;5;80,2;0;130;0;74;32;59;38;1;0;4;0
Pedagogia;2016.1;8;Ética e Cidadania;66;1024;38;0;6;24;16;0;0;0;0;2;0;11;1;0;38;16;0;0;0;2;5;66,34;38;155;48;82;60;51;44;0;2;3;0
Pedagogia;2011.1;2;Língua Portuguesa: Sintaxe e Semântica;31;212;42;0;6;17;31;0;0;2;1;4;0;19;3;1;1;18;0;0;0;0;2;70,04;1;69;0;44;21;18;30;0;1;6;0
Pedagogia;2014.2;1;Prática Pedagógica I ;111;1710;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pedagogia;2014.2;1;Prática Pedagógica I ;111;1912;4;2;17;62;60;0;4;0;4;2;0;10;1;0;40,94;13;0;2;1;1;6,3846;32,23;40,94;166;37;71;77;71;14;4;2;6;3
Biologia;2011.2;2;Psicologia Evolutiva ;26;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Letras;2014.2;5;Fundamentos da Educação Especial (5º);93;452;6;0;6;20;55;0;0;1;3;1;0;19;3;0;0,17;15;0;2;0;0;4;73,23;0,17;104;22;44;18;27;58;1;2;4;0
Letras;2014.2;5;Prática V. (5º);97;398;24;0;0;4;49;0;0;1;7;1;0;22;3;0;0,54;19;0;2;0;2;5,0385;23,09;0,54;131;27;52;19;38;74;0;2;8;0
Pedagogia;2016.1;4;Educação e Multiculturalismo;59;1730;26;0;0;4;4;0;0;2;0;1;0;16;2;0;2,5;20;0;0;0;2;5;69,35;2,5;145;25;66;30;47;60;8;2;6;0
Pedagogia;2016.1;4;Planejamento Educacional;61;1757;17;0;0;1;6;0;0;0;0;1;0;7;1;0;0,5;11;0;0;10;2;2;79,74;0,5;70;18;42;23;25;22;0;2;4;0
Biologia;2013.2;3;Psicologia da Aprendizagem ;30;437;46;0;25;25;29;0;0;1;4;0;0;15;2;0;4;9;0;3;0;0;3;240,26;4;92;11;51;4;44;41;3;2;4;0
Pedagogia;2014.2;5;Educação de Jovens e Adultos (5º);116;1010;39;0;1;9;34;0;0;0;1;3;0;11;1;0;28;13;0;2;1;2;3,8846;47,59;28;101;33;44;26;46;29;0;2;2;0
Pedagogia;2014.1;4;Prática Pedagógica IV;49;5;30;0;0;5;23;0;0;0;0;3;0;22;3;0;18;11;0;1;0;1;1;78,38;18;39;1;26;4;19;16;0;1;2;0
Pedagogia;2012.1;4;Currículo e Contemporaneidade;56;190;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Biologia;2014.1;4;Zoologia Geral;48;130;30;0;5;5;16;0;0;2;0;0;0;0;0;0;0;13;0;0;0;0;1;73,3;0;48;2;31;20;11;16;1;0;2;0
Letras;2014.2;1;Leitura e Produção do Texto (1º);88;401;3;0;0;0;40;0;0;0;1;0;0;19;3;0;1,16;15;0;1;0;0;2,0385;52,41;1,16;53;14;26;6;15;32;0;1;3;0
Pedagogia;2013.2;3;História da Educação no Brasil;30;33;37;0;0;1;5;0;0;0;0;1;0;19;3;0;20;45;0;2;0;2;4;235,22;20;111;10;60;23;30;57;1;2;4;0
Biologia;2013.2;3;Org. da educ. Básica;28;24;74;0;1;9;68;0;0;4;1;2;0;20;3;0;1;20;0;4;0;2;3;198,3;1;87;12;61;16;18;53;0;3;5;1
Pedagogia;2013.2;7;Avaliação Educacional;36;83;58;0;11;30;27;0;0;0;4;2;0;21;3;0;2,5;36;0;2;0;2;8;235,03;2,5;232;40;116;87;88;56;1;2;5;0
Letras;2014.2;5;Psicologia da Aprendizagem (5º)  ;98;490;7;0;1;13;73;0;0;0;0;1;0;19;3;0;0,17;6;0;3;1;0;5,5;111,19;0,17;143;15;38;9;40;83;11;2;1;0
Biologia;2016.1;8;Biotecnologia;39;361;5;0;0;0;28;0;0;0;1;0;0;14;2;0;49;42;0;0;0;0;5;74,68;49;135;62;74;17;102;16;0;2;4;0
Letras;2014.2;8;Prática VIII. (8º);103;389;41;4;7;66;72;0;0;0;4;4;1;6;1;0;20,07;29;0;2;3;2;3,3077;12,56;20,07;86;29;53;49;10;1;26;2;5;0
Biologia;2016.1;4;Zoologia Geral;38;1285;5;0;0;29;62;0;0;0;0;2;0;16;2;0;26,5;17;0;0;0;0;4;80,3;26,5;107;17;78;35;35;37;0;2;4;0
Pedagogia;2014.2;1;Prática Pedagógica I ;111;1736;38;0;11;36;44;0;0;0;0;11;0;19;3;0;32,15;3;0;1;0;1;2,6923;35,03;32,15;70;12;32;25;23;20;2;2;2;0
Biologia;2014.2;8;Prática VIII (8º);69;273;7;0;5;5;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,6923;0;0;70;0;41;22;23;25;0;0;0;0
Pedagogia;2013.2;3;Metodologia Cientifica;31;381;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Biologia;2016.1;8;Biotecnologia;39;313;27;0;0;5;73;0;0;0;0;0;0;15;2;0;11,5;14;0;0;0;0;3;98,28;11,5;80;20;52;22;31;26;1;2;3;0
Pedagogia;2014.2;1;Fundamentos Filosóficos da Educação ;108;1866;7;0;1;21;12;0;0;1;0;1;0;18;3;0;35,19;13;0;1;0;1;1,4615;62,56;35,19;38;18;20;9;8;21;0;2;4;0
Administracao;2016.1;8;Relações Internacionais;31;741;6;0;0;37;35;0;0;0;2;0;0;11;1;0;23;16;0;0;0;0;7;79,34;23;206;21;99;83;70;52;1;2;5;0
Biologia;2016.1;8;Sociologia da Educação;46;302;21;0;2;23;43;0;0;0;4;0;0;20;3;0;38;10;0;0;0;0;3;70,21;38;82;18;55;16;15;50;1;1;4;0
Letras;2014.2;1;Leitura e Produção do Texto (1º);88;1501;24;0;0;35;81;0;0;3;2;3;0;14;2;0;7,78;7;0;2;1;0;2,5;47,27;7,78;65;7;47;21;32;12;0;2;3;0
Pedagogia;2016.1;8;Educação e Tecnologias;64;969;33;0;0;6;12;0;0;0;0;1;0;8;1;0;42,5;24;0;0;0;2;2;78,6;42,5;69;21;45;21;30;18;0;2;4;0
Pedagogia;2014.2;5;Alfabetização e Letramento (5º);113;1013;20;4;11;35;45;0;0;0;2;2;1;21;3;0;19,07;9;0;3;0;2;2,8846;73,02;19,07;75;18;36;17;18;39;1;2;4;0
Letras;2014.1;4;Literatura Brasileira I;55;147;17;0;2;2;25;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;23;3;22;4;3;16;0;0;0;0
Letras;2013.2;3;Literatura Latina;35;435;6;0;2;2;20;0;0;0;2;0;0;0;0;0;0;8;0;0;0;0;0;109,14;0;18;5;11;2;7;9;0;0;2;0
Pedagogia;2014.2;1;Prática Pedagógica I ;111;1783;18;0;0;9;9;0;0;0;1;2;0;20;3;0;4,12;4;0;6;1;9;3,7308;99,96;4,12;97;12;25;7;38;39;13;1;2;0
Pedagogia;2013.2;3;Prática Pedagógica III;35;231;5;0;0;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;2;16;6;5;6;3;0;0;0
Pedagogia;2016.1;4;Currículo e Contemporaneidade;58;1786;71;0;0;0;2;0;0;4;1;0;0;14;2;0;0,5;32;0;0;1;1;10;82,68;0,5;282;51;103;54;169;53;6;2;4;0
Letras;2014.1;4;Literatura Brasileira I;55;276;8;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;1;7;1;5;2;2;0;0;0
Pedagogia;2014.1;4;Fundamentos da Educação Infantil;46;570;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pedagogia;2014.2;1;Antropologia ;105;1907;27;0;0;1;16;0;0;3;0;0;0;21;3;0;33,57;16;0;1;6;1;1,6538;59,38;33,57;43;14;31;17;9;16;1;2;5;0
Biologia;2016.1;4;Filosofia da Educacao;35;1257;8;0;0;2;49;0;0;0;0;0;0;15;2;0;41,5;20;0;0;0;0;3;79,86;41,5;80;21;47;28;23;26;3;2;4;0
Letras;2016.1;4;Morfossintaxe II;50;1544;8;0;7;16;59;0;0;0;0;2;0;9;1;0;25;0;0;0;0;0;2;0;25;61;11;37;15;24;22;0;2;0;0
Administracao;2013.2;3;Sociologia Organizacional ;32;209;50;0;10;62;55;0;0;0;0;3;0;12;2;0;3,5;7;0;2;0;2;7;222,86;3,5;189;16;116;28;42;119;0;2;2;0
Pedagogia;2016.1;8;Avaliação da Aprendizagem;63;1042;8;0;0;1;3;0;0;0;4;0;0;22;3;0;28,5;25;0;0;0;2;4;82,78;28,5;124;41;67;10;42;67;5;2;4;0
Letras;2014.1;4;Morfossintaxe II;56;4;55;1;6;39;53;0;0;1;0;2;0;23;3;0;10;28;0;1;0;1;7;76,34;10;186;28;82;28;73;85;0;1;3;0
Pedagogia;2014.1;4;Educação e Multiculturalismo;45;401;8;0;0;0;2;0;0;0;0;0;0;19;3;0;0;22;0;1;0;1;1;85,15;0;51;12;35;12;25;14;0;1;3;0
Letras;2010.2;3;Morfossintaxe I;32;227;77;0;0;61;281;0;0;1;4;5;0;12;2;0;0;49;0;0;0;0;7;63,96;0;206;0;99;71;59;75;1;2;11;0
Letras;2013.2;3;Morfossintaxe I ;37;45;4;0;1;1;46;0;0;0;1;0;0;0;0;0;0;4;0;0;0;0;0;68,03;0;20;4;17;8;6;6;0;0;2;0
Letras;2014.2;5;Literatura Brasileira II (5º);94;461;23;0;1;17;51;0;0;0;2;1;0;18;3;0;2,67;6;0;3;0;1;2,3846;48,09;2,67;62;21;33;5;22;35;0;2;4;0
Letras;2014.1;4;Morfossintaxe II;56;343;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;5;4;0;3;0;0;0;0
Pedagogia;2016.1;8;Educação e Trabalho;65;877;7;0;0;0;2;0;0;0;0;0;0;22;3;0;0,5;14;0;0;0;2;2;70,54;0,5;76;26;46;17;20;37;2;2;3;0
Pedagogia;2016.1;4;Currículo e Contemporaneidade;58;1695;8;0;0;0;3;0;0;1;2;0;0;19;3;0;33;20;0;0;0;1;2;86,94;33;59;20;34;15;6;38;0;2;5;0
Pedagogia;2013.2;7;Estágio III;38;157;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Biologia;2014.2;1;História da Biologia (1º);52;1242;10;0;1;7;24;0;0;0;0;1;0;1;3;0;1,99;14;0;3;3;0;3,1154;69,42;1,99;81;25;46;15;21;40;5;2;4;0
Pedagogia;2014.2;1;Psicologia do Desenvolvimento ;112;1907;27;0;0;1;16;0;0;0;0;0;0;21;3;0;34,58;13;0;1;2;1;1,6538;60,24;34,58;43;10;31;17;9;16;1;2;4;0
Letras;2016.1;4;Linguística II;48;1502;35;0;0;5;61;0;0;0;1;1;0;14;2;0;35;56;0;0;1;0;8;80,37;35;222;43;97;40;47;131;4;2;6;0
Pedagogia;2014.1;8;Prática Pedagógica VIII;53;76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pedagogia;2013.2;7;Projeto de Pesquisa;42;351;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pedagogia;2013.2;3;Metodologia Cientifica;31;359;8;2;15;27;21;0;0;0;0;1;0;19;3;0;2;29;0;2;0;2;5;237,71;2;149;20;81;13;49;85;2;2;4;0
Pedagogia;2014.2;1;Psicologia do Desenvolvimento ;112;1862;10;0;0;0;3;0;0;0;0;0;0;20;3;0;39,08;8;0;1;1;1;1;104,66;39,08;26;5;16;10;6;7;3;2;3;0
Letras;2009.2;1;Tecnologias Aplicadas à Educação;17;244;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Biologia;2013.2;6;Zoologia dos Vertebrados ;37;298;14;0;18;30;62;0;0;0;4;1;0;9;2;0;5,67;88;0;5;0;2;11;203,14;5,67;289;7;97;39;144;106;0;3;4;0
Biologia;2014.2;1;Física Aplicada à Biologia (1º);121;1342;3;0;0;10;47;0;0;0;0;1;0;0;0;0;0;4;0;0;0;0;1,0385;110,08;0;27;3;23;4;0;23;0;0;1;0
Letras;2013.2;6;Sociolinguística;45;322;4;0;0;0;96;0;0;0;0;0;0;14;2;1;1;2;0;3;0;2;0;222,83;1;21;3;17;4;7;10;0;1;1;0
Pedagogia;2013.2;3;Organização da Educação Nacional;34;430;7;0;2;6;11;0;0;0;0;0;0;21;3;0;1;35;0;2;0;2;6;234,83;1;180;22;92;80;58;42;0;2;4;0
Pedagogia;2014.1;4;Fundamentos da Educação Infantil;46;224;12;0;0;0;5;0;0;0;0;0;0;18;3;0;0;19;0;2;0;1;1;89,92;0;45;10;23;13;14;18;0;1;3;0
Letras;2016.1;4;Psicologia Evolutiva;52;429;31;0;0;15;111;0;0;0;0;0;0;21;3;0;0,5;1;0;0;0;0;1;0;0,5;45;10;37;11;6;28;0;2;0;0
Biologia;2016.1;4;Filosofia da Educacao;35;1396;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pedagogia;2012.1;4;Prática Pedagógica IV;57;172;8;0;0;0;5;0;0;0;0;0;0;18;3;0;0;10;0;0;0;0;2;81,35;0;55;0;26;19;25;11;0;2;3;0
Letras;2014.2;5;Fundamentos da Educação Especial (5º);93;420;70;0;9;33;68;0;0;4;6;1;1;17;2;0;0,72;27;0;2;0;0;11,1154;62,38;0,72;289;47;79;64;75;125;25;2;6;0
Pedagogia;2016.1;4;Educação e Multiculturalismo;59;835;14;0;0;1;5;0;0;0;0;1;0;0;2;1;2;12;0;0;0;1;3;99,96;2;100;10;44;25;53;22;0;1;3;0
Pedagogia;2013.2;7;Estágio III;38;387;9;0;0;1;8;0;0;0;0;0;0;9;1;0;7;13;0;2;0;2;3;235,17;7;84;11;63;40;24;20;0;2;5;0
Pedagogia;2010.2;1;Psicologia do Desenvolvimento;21;157;36;0;0;2;56;0;0;5;2;0;0;17;2;0;32;47;0;0;0;0;5;71,73;32;133;0;81;27;46;60;0;2;6;0
Letras;2014.2;8;Estilística (8º);100;454;8;3;0;44;63;0;0;2;5;0;1;14;2;0;0,75;40;2;3;0;0;3,7692;60,1;0,75;98;28;49;17;24;55;2;2;10;0
Pedagogia;2013.2;3;História da Educação no Brasil;30;520;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pedagogia;2013.2;7;Gestão e Organização Escolar;39;321;22;0;9;18;15;0;0;1;0;0;0;19;3;0;1;4;0;2;0;2;1;196,99;1;48;10;31;13;16;19;0;2;1;0
Pedagogia;2014.2;1;Linguagem na Produção do Conhecimento ;110;584;4;0;0;18;25;0;0;0;2;2;0;10;1;0;37,36;14;0;1;1;1;7,9231;51,47;37,36;206;21;75;87;84;35;0;2;3;0
Pedagogia;2014.2;5;Educação Inclusiva (5º);117;895;56;0;2;16;26;0;2;0;5;1;0;0;2;0;19,17;18;0;2;0;3;4,5385;72,52;19,17;118;18;45;29;26;59;4;2;6;3
Pedagogia;2014.1;4;Currículo e Contemporaneidade;44;348;4;0;0;0;4;0;0;0;0;0;0;19;3;0;0;8;0;1;0;1;0;59,96;0;13;4;9;4;4;5;0;1;4;0
Pedagogia;2014.1;8;Prática Pedagógica VIII;53;172;16;0;0;0;12;0;0;0;2;0;0;18;3;0;0;9;0;1;0;1;1;76,58;0;41;5;24;15;11;14;1;1;2;0
Pedagogia;2011.2;3;Didática;46;59;12;0;2;24;47;0;0;0;3;5;0;8;1;1;0;43;0;0;0;0;4;82,24;0;121;0;76;24;30;67;0;1;7;0
Pedagogia;2014.1;4;Planejamento Educacional;48;165;4;0;0;0;5;0;0;0;1;0;0;22;3;0;0;32;0;2;0;1;3;68,71;0;78;13;44;14;57;7;0;1;2;0
Pedagogia;2014.1;8;Relações Interpessoais e Dinâmica de Grupo;54;157;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pedagogia;2012.1;4;Currículo e Contemporaneidade;56;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pedagogia;2011.1;2;História da Educação;32;64;10;0;1;2;34;0;0;4;0;2;0;18;3;0;1;24;0;0;0;0;2;77,17;1;57;0;32;9;19;29;0;2;4;0
Pedagogia;2013.2;3;Prática Pedagógica III;35;133;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pedagogia;2016.1;4;Pesquisa em Educação;60;1917;4;0;0;3;4;0;0;1;1;1;0;7;1;0;1,5;15;0;0;0;2;2;86,41;1,5;59;18;35;30;19;10;0;2;5;0
Pedagogia;2011.1;2;Prática Pedagógica II;36;57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Administracao;2013.2;8;Relações Internacionais ;38;91;12;2;4;30;46;0;0;0;3;0;0;12;2;0;0,5;32;0;4;0;2;5;236,7;0,5;142;23;93;65;33;44;0;2;5;0
